words,sentiment_coff
izuku,-1.490929929732687
almost,-1.1267450651852002
felt,-1.317725827139612
bad,-0.8876289054193068
tear,-1.4782383907800454
well,-0.9007553059418488
beta,-2.531741883643311
eye,-1.1989285717559153
turn,1.051405769141197
leav,-1.1228753353748147
feel,-0.9135654008305979
quickli,-2.126621707204924
daddi,-1.4992922677815559
swell,-2.960175446112538
i,-0.9787516826558896
realli,-0.9307890495438051
want,-0.9106192743714062
birthday,-1.2089671712695618
get_pregnant,-2.571977493116809
pup,-1.6518031818653711
what,-0.9486627559423259
omega,-2.1742072991175774
get,-0.8954252914664577
he,0.8853574655711427
look,-0.8901889040449752
disappoint,-1.3657631679819393
annoy,-1.1537403611690529
lift,2.6753235205937997
old,1.0526070428623506
front,1.8837836932196885
weight,-1.6858208034549134
walk,1.7304834091616708
better,0.8798250379705223
tell,-1.0398042052816772
eat,-1.1475508951161608
much,-0.957172700077955
lol,-1.1420696707490794
question,1.2349545095032988
becom,1.313633504014448
lean,2.57444632348875
machin,2.5340569886523587
hope,-0.8897804221844837
and,-0.9031283559010037
great_day,-1.0282804096699085
can_wait,-1.4163348904088047
need_laugh,-2.529428723316232
http_co,-1.003067809602885
crush,-2.041461057037424
phase,-1.9141516125068405
alway,-0.9251284213232408
excit,-1.1792995721322166
think,-0.9142636857143559
duet_for,1.0449721081907268
love_jeydic,1.1085968352989133
it,-0.9195025268496083
pass,-1.2762182238899953
oh,-1.1036199672204696
drag,-2.1343842677241875
girl,-1.0869999904704806
top,1.4660390104815126
friendship,-1.6644882587351713
e,-1.3189679806114243
hous,1.3594758681639103
made,0.9879376267616706
look_like,-1.1146946657411412
knew,-1.2751139726369605
nengi,-1.2956114591866799
form,-1.7838632473162552
anyway,-1.4494677905506421
we,-0.8707258918698724
move,-1.0927765088793293
love,-0.9975501350526945
sooo_much,-1.5945921813220039
so,-0.9294580921165537
nigeria,-0.921729240304998
would,-0.8966279239570336
have_been,-1.8947088749363794
great,0.9058729659044249
if,0.9213110387994039
of,0.9775687239283473
kiss,-1.6221078422043613
red,-1.7436255177159865
light,-1.0419950826002071
type,-1.4304224671664332
might,1.047893290926391
thing,-0.8904853272346122
one,-0.8995895313109646
ador,-1.6149138316996843
sound,-1.1961674954592818
shit,-1.0674504358258896
come,0.8865990090507297
eh,-2.943618490374316
less,1.2046754492731984
everyth,-1.0476648948156797
long_time,-1.3210096385558023
see,-0.9055100095106421
understand,0.963166062290393
point_view,2.9056725698154517
simpli,1.2924167062931333
hold,1.2301461165135192
face,-1.1701649126351417
overwhelm,-2.084244801034714
evid,1.9026492854796384
love_u,-1.0538062886826167
so_much,-1.1191468993465274
that,-0.9160033967630195
happi,-0.9710080991549633
death,1.338980148510866
go,-0.9030450897601512
fast,-1.515960455881156
mayb,-0.9561875062897505
non,1.3490641012014055
sexi,-1.9207003959396953
deserv,-1.0382116152475986
congrat,-1.1989372508083191
thank,-0.9371063435653407
hard_work,-1.6011140765249579
truth,-1.1713933913096153
us,-0.8761878670070449
ship,-1.903014892292544
way,-0.8833667928968144
save,1.337498743569773
we_cannot,3.0256503862463804
mere,-1.7344131515317511
wish,-1.0128068116935158
come_true,-2.212082778080116
unless,1.4567461056155497
sincer,-3.0231671878668003
hate,-0.9016020773997961
laugh,-1.5799045270521972
talk,-0.9637214433278092
coz,-1.850110819691429
imagin,-1.0928206165803882
life,-0.9039618533289087
without,0.9783420118417823
back,0.9248976389448379
amp,0.8730029874352074
embarrass,2.086562790613318
mistak,1.782121910902665
grow,1.5591441733407594
guy,-0.9988104713769651
like,-0.9380642866858007
cool,-1.2736797423452284
combin,2.3311947455528275
celebr,-0.9884075047928031
name,-1.1185800255534017
pray,-1.1014064463389612
slot,1.998262892060529
somebodi,-2.0867542713270755
believ_god,-2.0619691856179623
you,-0.9469880786361822
work,0.9048795920647779
realli_hard,-1.2436781454428358
comeback,-2.213259671831286
congratul,-1.2514478501792772
laycon,-1.5743572984920948
hot,-1.5061784795989628
nonsens,-1.9407337240430704
ufc,-3.025887748178473
champion,2.452518224482327
israel,1.612819011302167
deni,1.8499666652143212
use,0.9636110360811081
fan,-1.1750562463717644
notic,1.3674434362628756
unusu,3.345716941610696
right,-0.9475997461033119
win,1.0373998913710754
costa,3.304952933627847
pain,-1.0895498560722647
sourc,-1.8562242650567775
no,-1.017026642638884
man,-0.9935468795082447
sky,-1.9489868445620246
recent,1.6401961171865544
got,-0.926415108556192
big,-1.0879369148882558
updat,-1.4307511168344735
also,0.9182405823136545
50,1.6531480847119717
idk,-1.1303742794923872
everyon,-0.9845723776476218
ask,-0.9773206967573378
humbl,-2.1796118101624353
upcom,2.07977735694143
aaa,-1.9102820169084604
hype,-2.1201319106731424
game,0.9500626233807242
homophob,-2.6060479580700395
stfu,-1.5746831933816445
stop,-0.9920369742458375
2020,1.3648392736204191
admit,-1.3713001649387848
say,-0.9135398937852062
hate_speech,-2.159560680860004
honestli,-1.0997049696652437
nigerian,1.081407408725132
heritag,2.499960358393856
surpris,-1.107729860217785
good_morn,-1.0472566016042104
happi_thursday,1.9928271107609754
happi_octob,-1.6045047677644793
be_kind,-2.2682330187258444
other,1.0582385284587568
